Date,Temperature,"Precipitation",Cloudiness"
2024-08-01,35,0,28
2024-08-02,33,0,25
2024-08-03,35,0,17
2024-08-04,28,0,33
2024-08-05,33,0,12
2024-08-06,35,0,27
2024-08-07,34,0,30
2024-08-08,29,0,19
2024-08-09,30,0,10
2024-08-10,29,0,35
2024-08-11,26,0,35
2024-08-12,35,0,34
2024-08-13,33,0,33
2024-08-14,35,1,38
2024-08-15,25,0,10
2024-08-16,32,0,38
2024-08-17,28,0,40
2024-08-18,32,0,35
2024-08-19,31,0,11
2024-08-20,34,0,33
2024-08-21,27,0,24
2024-08-22,31,0,24
2024-08-23,26,0,12
2024-08-24,27,0,34
2024-08-25,31,0,19
2024-08-26,31,0,16
2024-08-27,30,0,21
2024-08-28,33,0,29
2024-08-29,33,0,12
2024-08-30,33,0,24
2024-08-31,28,0,11
2024-09-01,27,0,31
2024-09-02,22,0,24
2024-09-03,25,1,21
2024-09-04,30,0,32
2024-09-05,25,0,20
2024-09-06,24,0,25
2024-09-07,25,0,23
2024-09-08,30,0,49
2024-09-09,27,1,42
2024-09-10,22,0,27
2024-09-11,24,1,50
2024-09-12,25,0,47
2024-09-13,30,1,25
2024-09-14,25,0,43
2024-09-15,25,0,44
2024-09-16,21,0,27
2024-09-17,29,0,31
2024-09-18,24,0,41
2024-09-19,23,0,20
2024-09-20,23,0,34
2024-09-21,20,0,25
2024-09-22,24,0,50
2024-09-23,23,0,22
2024-09-24,20,0,43
2024-09-25,29,0,29
2024-09-26,21,0,21
2024-09-27,23,0,24
2024-09-28,28,0,30
2024-09-29,27,0,22
2024-09-30,20,1,47
2024-10-01,16,0,53
2024-10-02,25,1,41
2024-10-03,17,0,37
2024-10-04,20,0,58
2024-10-05,22,1,34
2024-10-06,17,0,34
2024-10-07,17,0,55
2024-10-08,18,0,39
2024-10-09,23,0,37
2024-10-10,21,1,48
2024-10-11,20,0,60
2024-10-12,15,0,30
2024-10-13,21,0,50
2024-10-14,22,0,36
2024-10-15,17,0,32
2024-10-16,21,1,39
2024-10-17,18,1,58
2024-10-18,15,0,36
2024-10-19,25,1,35
2024-10-20,23,0,34
2024-10-21,25,1,59
2024-10-22,18,0,39
2024-10-23,19,1,30
2024-10-24,20,1,60
2024-10-25,18,0,49
2024-10-26,22,0,37
2024-10-27,19,0,33
2024-10-28,16,0,48
2024-10-29,17,0,55
2024-10-30,25,0,49
2024-10-31,25,1,37
2024-11-01,15,0,62
2024-11-02,19,1,51
2024-11-03,19,0,69
2024-11-04,11,1,54
2024-11-05,17,1,51
2024-11-06,13,1,44
2024-11-07,17,0,70
2024-11-08,19,1,70
2024-11-09,19,0,58
2024-11-10,17,1,50
2024-11-11,16,0,44
2024-11-12,14,0,43
2024-11-13,15,1,40
2024-11-14,15,0,47
2024-11-15,14,0,60
2024-11-16,18,0,64
2024-11-17,14,1,42
2024-11-18,13,0,50
2024-11-19,15,0,57
2024-11-20,20,1,56
2024-11-21,20,0,66
2024-11-22,12,0,64
2024-11-23,16,0,60
2024-11-24,17,0,68
2024-11-25,20,1,67
2024-11-26,11,1,46
2024-11-27,10,1,56
2024-11-28,13,0,67
2024-11-29,17,0,40
2024-11-30,16,0,63
2024-12-01,7,0,79
2024-12-02,5,0,79
2024-12-03,12,1,50
2024-12-04,7,0,51
2024-12-05,10,0,67
2024-12-06,10,1,53
2024-12-07,5,0,72
2024-12-08,11,1,59
2024-12-09,14,1,51
2024-12-10,5,0,77
2024-12-11,6,1,57
2024-12-12,5,1,52
2024-12-13,12,0,80
2024-12-14,12,0,64
2024-12-15,9,0,50
2024-12-16,12,0,73
2024-12-17,12,1,65
2024-12-18,8,1,71
2024-12-19,9,0,72
2024-12-20,6,0,56
2024-12-21,5,0,68
2024-12-22,7,1,77
2024-12-23,6,1,64
2024-12-24,9,0,59
2024-12-25,6,0,72
2024-12-26,8,1,55
2024-12-27,13,0,61
2024-12-28,7,1,71
2024-12-29,12,0,79
2024-12-30,12,1,72
2024-12-31,5,0,66
